Country,Job_Title,Max_Salary
Canada,"Operational Excellence Manager",148240
Canada,"Senior Manager, UX and Design",148240
Canada,"Blending Engineer",148240
Canada,"Senior web application developer",148240
Canada,"Strategic Investment Planner",148240
Canada,"Manager of Communications",148240
Canada,"Senior Analyst",146880
Canada,"Director of Research and Strategy",146880
Canada,"Clinical supervisor",146880
Canada,"Supervisor, Application Support",146880
Canada,"Communications & Marketing Manager",146880
Canada,"Nursing Care Manager",146880
Canada,"Manager Indigenous Services",146880
Canada,"Tax Manager",145520
Canada,"Associate Librarian",144797.84
Canada,"Team Lead, ETL Specialist",144160
Canada,"GIS Analyst",144160
Canada,"Associate Director, Marketing",144160
Canada,"Financial Risk Analyst",144160
Canada,"Senior Advisor, Decision Support",143480
Canada,"Digital Marketing Manager",142948.24
Canada,"Front End Developer",142800
Canada,"Computer Security Incident Responder",142800
Canada,"Senior Software Designer",142800
Canada,"Customer Success Manager",142800
Canada,"Senior Investigator",142800
Canada,Programmer,142800
Canada,"Integration Specialist",142800
Canada,"Senior Evaluation Officer",142800
Canada,"Accessibility Consultant",142800
Canada,"Senior product owner",142800
Canada,"Strategic Data Manager",142800
Canada,"Lead Data Strategist",142800
Canada,"Manager, Occupational Health and Safety",142800
Canada,"Software Developer / Customer Integrations",142800
Canada,"Director, Operations",142800
Canada,"Manager, Digital Strategy",142800
Canada,"Digital Imaging Technician",141440
Canada,"Bookkeeper and Payroll Specialist",141440
Canada,"Technical Operations Manager",141440
Canada,"Secondary school teacher",140448.56
Canada,"Technical supervisor",140080
Canada,"Manager, Growth",140080
Canada,"Technical Support Trainer",138720
Canada,"Senior IT analyst",138720
Canada,"Communications Team Lead",138720
Canada,"Chief technology officer",138720
Canada,Archivist,137700
Canada,"Engineering Program Coordinator",137360
Canada,"College Instructor",137360
Canada,"Facilities Manager",137360
Canada,"In-House Counsel",136000
Canada,Instructor,136000
Canada,"Senior IT Advisor",136000
Canada,"HR Manager",136000
Canada,"Firmware Tester",136000
Canada,"Forensic Scientist",136000
Canada,Pharmacist,136000
Canada,"HR Business Partner",136000
Canada,"Mechatronics Engineer",136000
Canada,"Sr Art Director",136000
Canada,Faculty,136000
Canada,"Film Post-Production Manager",136000
Canada,"Customer Solutions Manager",136000
Canada,"Senior Policy Advisor",136000
Canada,"Consulting Engineer",136000
Canada,"Marketing Director",136000
Canada,"Clinical social worker",136000
Canada,"Senior Data Manager",135660
